file,Question,Answer (from notes)
Trivia_AoT_Oct2024,Debris left over from a comet can produce what phenomenon on Earth?,C ) meteor shower
Trivia_AoT_Oct2024,Which Apollo mission was famously aborted due to an oxygen tank explosion?,Apollo 13
Trivia_AoT_Oct2024,"Karl Urban, who plays Éomer son of Éomund of the Rohirrim in Lord of the Rings, is known for many outstanding roles, including Billy Butcher in which dystopian sci-fi superhero show?",The Boys
Trivia_AoT_Oct2024,What civilization made the first estimate of the value of Pi?,Mesopotamia
Trivia_AoT_Oct2024,"Why do Aurorae (Northern/Southern Lights) usually occur near the poles? 
It's because, Earth's…",B – B-Field
Trivia_AoT_Oct2024,"What is the name of the black hole at 
the center of our galaxy?",Sag A* (closest spelling…)
Trivia_AoT_Oct2024,"Which astronaut and musician famously performed David Bowie's ""Space Oddity"" on the International Space Station?",Chris Hadfield
Trivia_AoT_Oct2024,What equation was the most (in)famous math duel ever fought over?,Cubic equation
Trivia_AoT_Oct2024,What is NOT a direct or indirect product of astronomy research?,c) Ball point pens
Trivia_AoT_Oct2024,"Which orbiter mission was just launched (Oct. 14, 2024) and is set to reach the Jupiter system in 2030?",Europa Clipper
Trivia_AoT_March2024,"In the sci-fi series ""The Expanse"" which asteroid/dwarf planet, named after the Roman Goddess of Agriculture, has the highest population of ""Belters""?",Ceres
Trivia_AoT_March2024,XXX,
Trivia_AoT_March2024,XXX,
Trivia_AoT_March2024,What is the most common fate of stellar evolution?,B – white dwarfs
Trivia_AoT_March2024,This crowded field of galaxies was imaged by which space telescope?,C- James Webb
Trivia_AoT_March2024,"True or False:
It is a coincidence that the moon and sun appear the same size in the sky",TRUE
Trivia_AoT_March2024,"Roughly, how many Globular Clusters does the Milky Way have?",Order of Hundreds
Trivia_AoT_March2024,"An ISO certified solar filter, such as that used in solar eclipse glasses, blocks at least what percent of visible light?",D – 99.999%
